Transaction_ID,Customer_ID,Name,Email,Address,State,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Total_Purchases,Amount,Total Sales,Product_Category,Product_Brand,Product_Type,Feedback,Payment_Method,Order_Status,Ratings,products
8691788,37249,Michelle Harrington,Ebony39@gmail.com,3959 Amanda Burgs,Berlin,Germany,21,Male,Low,Regular,9/18/2023,2023,September,3,108.03,324.09,Clothing,,Shorts,Excellent,Debit Card,Shipped,5,Cycling shorts
2174773,69749,Kelsey Hill,Mark36@gmail.com,82072 Dawn Centers,England,UK,19,Female,Low,Regular,12/31/2023,2023,December,2,403.35,806.71,Electronics,Samsung,Tablet,Excellent,Credit Card,Processing,4,Lenovo Tab
6679610,30192,Scott Jensen,Shane85@gmail.com,4133 Young Canyon,New South Wales,Australia,48,Malee,Low,Regular,4/26/2023,2023,April,3,354.48,1063.43,Books,Penguin Books,Children's,,Credit Card,Processing,2,Sports equipment
7232460,62101,Joseph Miller,Mary34@gmail.com,8148 Thomas Creek Suite 100,Ontario,Canada,56,Malee,High,Regular,5/8/2023,2023,May,7,352.41,2466.85,Home Decor,Home Depot,Tools,Excellent,PayPal,Processing,4,Utility knife
4983775,27901,Debra Coleman,Charles30@gmail.com,5813 Lori Ports Suite 269,Ontario,Canada,22,Malee,Low,Regular,1/10/2024,2024,January,2,124.28,248.55,Grocery,Nestle,Chocolate,Excellent,Cash,Shipped,5,Chocolate cookies
6095326,41289,Ryan Johnson,Haley12@gmail.com,532 Ashley Crest Suite 014,New South Wales,Australia,58,Female,Medium,Regular,9/21/2023,2023,September,4,296.29,1185.17,Electronics,Apple,Tablet,Good,PayPal,Pending,4,Lenovo Tab
5434096,97285,Erin Lewis,Arthur76@gmail.com,600 Brian Prairie Suite 497,Ontario,Canada,29,Female,Low,Regular,6/26/2023,2023,June,2,315.06,630.12,Electronics,Samsung,Television,Excellent,Cash,Processing,5,QLED TV
2344675,26603,Angela Fields,Tanya94@gmail.com,237 Young Curve,Berlin,Germany,29,Malee,Medium,Regular,3/24/2023,2023,March,1,46.59,46.59,Clothing,Zara,Shirt,Excellent,Cash,Processing,5,Dress shirt
4155845,80175,Diane Clark,Martin39@gmail.com,8823 Mariah Heights Apt. 263,New South Wales,Australia,46,Malee,Medium,Regular,1/6/2024,2024,January,8,328.84,2630.71,Grocery,Nestle,Chocolate,Excellent,Cash,Delivered,5,Dark chocolate
4926148,31878,Lori Bell,Jessica33@gmail.com,6225 William Lodge,New South Wales,Australia,25,Malee,Medium,Regular,10/4/2023,2023,October,10,397.61,3976.11,Home Decor,Home Depot,Decorations,Excellent,Cash,Delivered,4,Candles
8493213,19136,Jonathan Eaton,Mark38@gmail.com,9772 Sosa Coves,New South Wales,Australia,64,Female,Low,Regular,7/20/2023,2023,July,4,90.98,363.93,Home Decor,Home Depot,Tools,,Credit Card,Shipped,2,Screwdriver set
1609659,66883,Brianna Oconnor,David47@gmail.com,95471 Jerry Hollow Suite 034,New South Wales,Australia,31,Female,Medium,Regular,6/21/2023,2023,June,1,364.83,364.83,Books,Random House,Non-Fiction,,Credit Card,Pending,2,Science
